i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est, i.iter, d.est, i.est, m.est, d.sd, i.sd, m.sd, LL, maxgrad, m.start, d.start, i.start
1, 1986, 3, 67780, 0.179464622345105, 0.117016388420891, 0.192382894650167, 0.263157894736842, 0.0957446808510638, 0.105882352941176, 94, 1, 9, 9, 9, 20, 5, 9, 1, 0.41061, 0.23221, 0.071726, 0.091279, 0.018753, 0.023434, 1183.47, 4.43928e-05, 0.105882352941176, 0.263157894736842, 0.0957446808510638
1, 1986, 4, 67780, 0.770164787510841, 0.867924528301887, 0.249065308838663, 1, 0.785714285714286, 0.833333333333333, 56, 15, 10, 44, 10, 2, 75, 10, 1, 0.2723, 0.78394, 0.95187, 0.062304, 0.017255, 0.0059198, 1183.47, 4.43928e-05, 0.833333333333333, 1, 0.785714285714286
1, 1986, 5, 67780, 0.00017732762060234, 1, NA, NA, NA, NA, 0, 0, 0, 0, 0, NA, 0, 0, 1, NA, 0.2923, 1, NA, 0.022171, NA, 1183.47, 4.43928e-05, NA, NA, NA
1, 1987, 1, 67780, 0, 0, 0.978806423611111, 0.978917084685748, 0, 0, 67780, 0, 0, 0, 0, 66351, 0, 0, 1, 0.97028, 0, 0, 0.0058197, NA, NA, 1183.47, 4.43928e-05, 0, 0.978917084685748, 0
1, 1987, 2, 67780, 0.00017732762060234, 0.0213802989965185, 0.192382894650167, 0.196709585121602, 0.000699790062981106, 0.0210084033613445, 1429, 0, 30, 1, 30, 275, 0, 30, 1, 0.41061, 0.0017949, 0.008725, 0.091279, 0.00039511, 0.0015119, 1183.47, 4.43928e-05, 0.0210084033613445, 0.196709585121602, 0.000699790062981106
1, 1987, 3, 67780, 0.424224668312895, 0.269826270262412, 0.249065308838663, 0.276073619631902, 0.417631344612645, 0.252293577981651, 1123, 95, 165, 469, 165, 135, 475, 165, 1, 0.2723, 0.41991, 0.25708, 0.062304, 0.022345, 0.024574, 1183.47, 4.43928e-05, 0.252293577981651, 0.276073619631902, 0.417631344612645
1, 1987, 4, 67780, 0.243404678944749, 0.967105263157895, 0.345241763937242, 0.555555555555556, 0.245762711864407, 0.966292134831461, 354, 23, 258, 87, 258, 5, 115, 258, 1, 0.33249, 0.2923, 0.95187, 0.077103, 0.022171, 0.0059198, 1183.47, 4.43928e-05, 0.966292134831461, 0.555555555555556, 0.245762711864407
1, 1987, 5, 67780, 0.00017732762060234, 1, NA, NA, 0, 1, 4, 0, 4, 0, 4, NA, 0, 4, 1, NA, 0.051869, 1, NA, 0.010195, NA, 1183.47, 4.43928e-05, 1, NA, 0
1, 1988, 1, 67780, 0, 0, 0.997995584180377, 0.997713189731484, 0, 0, 67780, 0, 0, 0, 0, 67625, 0, 0, 1, 0.99769, 0, 0, 0.00047931, NA, NA, 1183.47, 4.43928e-05, 0, 0.997713189731484, 0
1, 1988, 2, 67780, 0.00017732762060234, 0.0203045685279188, 0.249065308838663, 0.291390728476821, 0, 0.0258064516129032, 155, 0, 4, 0, 4, 44, 0, 4, 1, 0.2723, 0.0036957, 0.005833, 0.062304, 0.00075639, 0.0017577, 1183.47, 4.43928e-05, 0.0258064516129032, 0.291390728476821, 0
