i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est
1, 1998, 2, 67780, 0.00017732762060234, 0.00518350282023476, 0.58086033867462, 0.591887417218543, 0, 0.00288898060255881, 2423, 0, 7, 0, 7, 1430, 0, 7
1, 1998, 3, 67780, 0.254382657223757, 0.376626362006345, 0.473179425931746, 0.461215932914046, 0.274847870182556, 0.332867132867133, 986, 59, 238, 271, 238, 220, 295, 238
1, 1998, 4, 67780, 0.201489785382403, 0.93950309411656, 0.226024423145283, 0.125, 0.182879377431907, 0.961904761904762, 257, 14, 202, 47, 202, 1, 70, 202
1, 1998, 5, 67780, 0.67175572519084, 1, NA, NA, 0.571428571428571, 1, 7, 0, 3, 4, 3, NA, 0, 3
1, 1999, 1, 67780, 0, 0, 0.989655700076511, 0.990115078194158, 0, 0, 67780, 0, 0, 0, 0, 67110, 0, 0
1, 1999, 2, 67780, 0.00017732762060234, 0.010989010989011, 0.473179425931746, 0.456060606060606, 0.00149253731343284, 0.0134529147982063, 670, 1, 9, 1, 9, 301, 5, 9
1, 1999, 3, 67780, 0.105128205128205, 0.247851002865329, 0.226024423145283, 0.231075697211155, 0.0779944289693593, 0.241691842900302, 359, 6, 80, 28, 80, 58, 30, 80
1, 1999, 4, 67780, 0.0365079365079365, 0.913509060955519, 0.231205820000084, 0.2, 0.0569948186528497, 0.917582417582418, 193, 2, 167, 11, 167, 3, 10, 167
1, 1999, 5, 67780, 0.857142857142857, 1, NA, NA, 0.833333333333333, 1, 12, 3, 2, 10, 2, NA, 15, 2
1, 2000, 1, 67780, 0, 0, 0.993655334211393, 0.993655945706698, 0, 0, 67780, 0, 0, 0, 0, 67350, 0, 0
1, 2000, 2, 67780, 0.00017732762060234, 0.00681154719429128, 0.226024423145283, 0.232394366197183, 0, 0.00930232558139535, 430, 0, 4, 0, 4, 99, 0, 4
1, 2000, 3, 67780, 0.00017732762060234, 0.291312867406924, 0.231205820000084, 0.234513274336283, 0, 0.308868501529052, 327, 0, 101, 0, 101, 53, 0, 101
1, 2000, 4, 67780, 0.328341013824885, 0.9950874435056, 0.201748857722773, NaN, 0.30635838150289, 1, 173, 6, 120, 53, 120, 0, 30, 120
1, 2000, 5, 67780, 0.292913795100716, 1, NA, NA, NaN, NaN, 0, 0, 0, 0, 0, NA, 0, 0
1, 2001, 1, 67780, 0, 0, 0.990463532556357, 0.989775745057539, 0, 0, 67780, 0, 0, 0, 0, 67087, 0, 0
1, 2001, 2, 67780, 0.00017732762060234, 0.00181789260799418, 0.231205820000084, 0.235209235209235, 0, 0, 693, 0, 0, 0, 0, 163, 0, 0
1, 2001, 3, 67780, 0.0704827657272399, 0.495316224156089, 0.201748857722773, 0.188235294117647, 0.0641509433962264, 0.485887096774194, 530, 8, 241, 34, 241, 48, 40, 241
