i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, I.est, M.est, D
1, 1982, 3, 67780, 0.262031691166173, 0.188943314945336, 0.330800332724195, 0.330800332724195, 0.262031691166173, 0.188943314945336, 4571.61160268049, 239.581423921053, 637.438908678174, 1197.90711960527, 637.438908678174, 1197.90711960527, 637.438908678174, 905.157562432304
1, 1982, 4, 67780, 0.268522799608578, 0.948896315421268, 0.302489465753857, 0.302489465753857, 0.268522799608578, 0.948896315421268, 1831.10801196474, 98.3388499516941, 1270.96478378207, 491.694249758471, 1270.96478378207, 491.694249758471, 1270.96478378207, 20.7050949149342
1, 1982, 5, 67780, 0.144666698273007, 1, NA, NA, 0.144666698273007, 1, 47.7438835092681, 1.38138999800338, 40.8369335192512, 6.90694999001688, 40.8369335192512, 6.90694999001688, 40.8369335192512, NA
1, 1983, 1, 67780, 0, 0, 0.894606422185364, 0.894606422185364, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 60636.423295724
1, 1983, 2, 67780, 0.00078274292623115, 0.00430596029934838, 0.330800332724195, 0.330800332724195, 0.00078274292623115, 0.00430596029934838, 7143.57670427603, 1.11831682665234, 30.7358805446742, 5.59158413326169, 30.7358805446742, 5.59158413326169, 30.7358805446742, 2351.08041321283
1, 1983, 3, 67780, 0.114214064063873, 0.140607463251634, 0.302489465753857, 0.302489465753857, 0.114214064063873, 0.140607463251634, 4756.16882638526, 108.644274207072, 592.371854509176, 543.221371035362, 592.371854509176, 543.221371035362, 592.371854509176, 1095.18597921976
1, 1983, 4, 67780, 0.144666698273007, 0.948896315421268, 0.57955039100955, 0.57955039100955, 0.144666698273007, 0.948896315421268, 2525.38962162096, 73.0679556825646, 2049.66333734649, 365.339778412823, 2049.66333734649, 365.339778412823, 2049.66333734649, 63.9745426342963
1, 1983, 5, 67780, 0.205810941170267, 1, NA, NA, 0.205810941170267, 1, 46.4119632273521, 1.91041796667623, 36.8598733939709, 9.55208983338116, 36.8598733939709, 9.55208983338116, 36.8598733939709, NA
1, 1984, 1, 67780, 0, 0, 0.867017775331091, 0.867017775331091, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 58766.4648119413
1, 1984, 2, 67780, 0.000312496277048324, 0.0125457793054863, 0.302489465753857, 0.302489465753857, 0.000312496277048324, 0.0125457793054863, 9013.53518805865, 0.563339237862479, 113.046485582857, 2.81669618931239, 113.046485582857, 2.81669618931239, 113.046485582857, 2691.45205163465
