i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est
1, 1991, 3, 67780, 0.10544748393698, 0.19959369991117, 0.312075809794695, 0.293103448275862, 0.0740740740740741, 0.226666666666667, 162, 3, 34, 12, 34, 34, 15, 34
1, 1991, 4, 67780, 0.249382166150527, 0.948896315421268, 0.639808898384753, 0.666666666666667, 0.195121951219512, 0.954545454545455, 82, 2, 63, 16, 63, 2, 10, 63
1, 1991, 5, 67780, 0.456706399755944, 1, NA, NA, 0, 1, 1, 0, 1, 0, 1, NA, 0, 1
1, 1992, 1, 67780, 0, 0, 0.992828204055112, 0.99331661257008, 0, 0, 67780, 0, 0, 0, 0, 67327, 0, 0
1, 1992, 2, 67780, 0.000287124284988782, 0.00973192849969107, 0.312075809794695, 0.276169265033408, 0, 0.00883002207505519, 453, 0, 4, 0, 4, 124, 0, 4
1, 1992, 3, 67780, 0.10529505376204, 0.290651720999001, 0.639808898384753, 0.587378640776699, 0.104615384615385, 0.292096219931271, 325, 10, 85, 34, 85, 121, 50, 85
1, 1992, 4, 67780, 0.456706399755944, 0.948896315421268, 0.713071819956078, 0.5, 0.505882352941176, 0.952380952380952, 85, 7, 40, 43, 40, 1, 35, 40
1, 1992, 5, 67780, 0.193010679601437, 1, NA, NA, 1, NaN, 1, 0, 0, 1, 0, NA, 0, 0
1, 1993, 1, 67780, 0, 0, 0.847246313675086, 0.845677190911773, 0, 0, 67780, 0, 0, 0, 0, 57320, 0, 0
1, 1993, 2, 67780, 0.000286685322772096, 0.0057178262314006, 0.639808898384753, 0.641217708633439, 0, 0.00449330783938815, 10460, 0, 47, 0, 47, 6677, 0, 47
1, 1993, 3, 67780, 0.210721552898105, 0.182379221258863, 0.713071819956078, 0.716763005780347, 0.19245182012848, 0.197215777262181, 3736, 157, 595, 719, 595, 1736, 785, 595
1, 1993, 4, 67780, 0.193010679601437, 0.948896315421268, 0.714627048973306, 0.636363636363636, 0.206997084548105, 0.959558823529412, 686, 13, 522, 142, 522, 14, 65, 522
1, 1993, 5, 67780, 0.463170837190491, 1, NA, NA, 0.375, 1, 8, 2, 5, 3, 5, NA, 10, 5
1, 1994, 1, 67780, 0, 0, 0.994077100257246, 0.993862496311596, 0, 0, 67780, 0, 0, 0, 0, 67364, 0, 0
1, 1994, 2, 67780, 0.000609638312760841, 0.00512737074533076, 0.713071819956078, 0.687651331719128, 0.00240384615384615, 0.00481927710843374, 416, 0, 2, 1, 2, 284, 0, 2
1, 1994, 3, 67780, 0.0798097139345111, 0.165155553897545, 0.714627048973306, 0.777777777777778, 0.147286821705426, 0.1, 129, 3, 11, 19, 11, 77, 15, 11
1, 1994, 4, 67780, 0.463170837190491, 0.948896315421268, 0.641206108448192, 1, 0.409090909090909, 0.846153846153846, 22, 0, 11, 9, 11, 2, 0, 11
1, 1994, 5, 67780, 0.307086030147149, 1, NA, NA, NaN, NaN, 0, 0, 0, 0, 0, NA, 0, 0
1, 1995, 1, 67780, 0, 0, 0.998109923234021, 0.998244319858365, 0, 0, 67780, 0, 0, 0, 0, 67661, 0, 0
1, 1995, 2, 67780, 0.000214323040078845, 0.00715452607105982, 0.714627048973306, 0.73109243697479, 0, 0, 119, 0, 0, 0, 0, 87, 0, 0
1, 1995, 3, 67780, 0.214377428673148, 0.222858562109657, 0.641206108448192, 0.684210526315789, 0.28125, 0.173913043478261, 32, 0, 4, 9, 4, 13, 0, 4
1, 1995, 4, 67780, 0.307086030147149, 0.948896315421268, 0.311620317161846, NaN, 0.5, 1, 6, 0, 3, 3, 3, 0, 0, 3
1, 1995, 5, 67780, 0.526471369007643, 1, NA, NA, NaN, NaN, 0, 0, 0, 0, 0, NA, 0, 0
1, 1996, 1, 67780, 0, 0, 0.998160822962767, 0.998082030097374, 0, 0, 67780, 0, 0, 0, 0, 67650, 0, 0
1, 1996, 2, 67780, 0.000621595393245244, 0.0175162611688239, 0.641206108448192, 0.651162790697674, 0, 0.00769230769230769, 130, 0, 1, 0, 1, 84, 0, 1
1, 1996, 3, 67780, 0.132627364988479, 0.462341157660743, 0.311620317161846, 0.166666666666667, 0.133333333333333, 0.538461538461538, 45, 0, 21, 6, 21, 3, 0, 21
1, 1996, 4, 67780, 0.526471369007643, 0.948896315421268, 0.718562177973642, NaN, 0.4, 1, 15, 0, 9, 6, 9, 0, 0, 9
1, 1996, 5, 67780, 0.314622176458205, 1, NA, NA, NaN, NaN, 0, 0, 0, 0, 0, NA, 0, 0
1, 1997, 1, 67780, 0, 0, 0.994191605205206, 0.994157568604308, 0, 0, 67780, 0, 0, 0, 0, 67384, 0, 0
1, 1997, 2, 67780, 0.000366613135469485, 0.0096581178848657, 0.311620317161846, 0.306701030927835, 0, 0.0202020202020202, 396, 0, 8, 0, 8, 119, 0, 8
1, 1997, 3, 67780, 0.251693598763826, 0.288792768624602, 0.718562177973642, 0.708029197080292, 0.278810408921933, 0.293814432989691, 269, 15, 57, 75, 57, 97, 75, 57
1, 1997, 4, 67780, 0.314622176458205, 0.948896315421268, 0.254409659286791, 0, 0.35, 0.961538461538462, 40, 4, 25, 14, 25, 0, 20, 25
1, 1997, 5, 67780, 0.424013310893054, 1, NA, NA, 1, NaN, 1, 0, 0, 1, 0, NA, 0, 0
1, 1998, 1, 67780, 0, 0, 0.846737615057425, 0.847521392741222, 0, 0, 67780, 0, 0, 0, 0, 57445, 0, 0
1, 1998, 2, 67780, 0.000746919288530434, 0.0161445508868462, 0.718562177973642, 0.715552053580223, 0.00058055152394775, 0.0170394036208733, 10335, 0, 176, 6, 176, 7265, 0, 176
1, 1998, 3, 67780, 0.136298527684756, 0.43534430431855, 0.254409659286791, 0.243919885550787, 0.12915512465374, 0.444135188866799, 2888, 71, 1117, 373, 1117, 341, 355, 1117
1, 1998, 4, 67780, 0.424013310893054, 0.948896315421268, 0.636057330809583, 0.67741935483871, 0.441816461684011, 0.947457627118644, 1057, 95, 559, 467, 559, 21, 475, 559
1, 1998, 5, 67780, 0.146882732354003, 1, NA, NA, 0.3, 1, 10, 1, 7, 3, 7, NA, 5, 7
1, 1999, 1, 67780, 0, 0, 0.998284723829782, 0.998244319858365, 0, 0, 67780, 0, 0, 0, 0, 67661, 0, 0
1, 1999, 2, 67780, 0.000377539624875967, 0.0175894578077173, 0.254409659286791, 0.293103448275862, 0, 0.0252100840336134, 119, 0, 3, 0, 3, 34, 0, 3
1, 1999, 3, 67780, 0.192628665839413, 0.463745946980851, 0.636057330809583, 0.666666666666667, 0.134146341463415, 0.535211267605634, 82, 2, 38, 11, 38, 22, 10, 38
1, 1999, 4, 67780, 0.146882732354003, 0.948896315421268, 0.260896342168726, NaN, 0.181818181818182, 1, 11, 2, 9, 2, 9, 0, 10, 9
1, 1999, 5, 67780, 0.443409166606081, 1, NA, NA, NaN, NaN, 0, 0, 0, 0, 0, NA, 0, 0
1, 2000, 1, 67780, 0, 0, 0.771130050395342, 0.771318973148421, 0, 0, 67780, 0, 0, 0, 0, 52280, 0, 0
1, 2000, 2, 67780, 0.000551264470012414, 0.0129943664116561, 0.636057330809583, 0.62916939175932, 0.000709677419354839, 0.0128478274904771, 15500, 2, 199, 11, 199, 9620, 10, 199
1, 2000, 3, 67780, 0.0597551223643121, 0.368265073726048, 0.260896342168726, 0.258848230353929, 0.0544973544973545, 0.378101100540944, 5670, 59, 2027, 309, 2027, 863, 295, 2027
1, 2000, 4, 67780, 0.443409166606081, 0.948896315421268, 0.629803792942271, 0.619047619047619, 0.436260623229462, 0.954773869346734, 2471, 211, 1330, 1078, 1330, 39, 1055, 1330
1, 2000, 5, 67780, 0.355104618844118, 1, NA, NA, 0.5, 1, 24, 1, 12, 12, 12, NA, 5, 12
1, 2001, 1, 67780, 0, 0, 0.993760681428015, 0.993198583652995, 0, 0, 67780, 0, 0, 0, 0, 67319, 0, 0
1, 2001, 2, 67780, 0.000158772443478061, 0.00521524458643852, 0.260896342168726, 0.265795206971678, 0, 0.00433839479392625, 461, 0, 2, 0, 2, 122, 0, 2
1, 2001, 3, 67780, 0.203284345101494, 0.167740990855095, 0.629803792942271, 0.6125, 0.169139465875371, 0.142857142857143, 337, 8, 40, 57, 40, 147, 40, 40
1, 2001, 4, 67780, 0.355104618844118, 0.948896315421268, 0.465217230779399, 0.5, 0.376344086021505, 0.96551724137931, 93, 6, 56, 35, 56, 1, 30, 56
1, 2001, 5, 67780, 0.244670256231403, 1, NA, NA, 1, NaN, 1, 0, 0, 1, 0, NA, 0, 0
1, 2002, 1, 67780, 0, 0, 0.780957959639423, 0.780687518442018, 0, 0, 67780, 0, 0, 0, 0, 52915, 0, 0
1, 2002, 2, 67780, 0.000585483393854891, 0.00535160297633752, 0.629803792942271, 0.635686725783524, 0.000336360578540195, 0.00585464333781965, 14865, 0, 87, 5, 87, 9391, 0, 87
1, 2002, 3, 67780, 0.156454891865788, 0.17173755330592, 0.465217230779399, 0.463678098838779, 0.153846153846154, 0.186868686868687, 5382, 154, 851, 828, 851, 1717, 770, 851
1, 2002, 4, 67780, 0.244670256231403, 0.948896315421268, 0.390926505384046, 0.52112676056338, 0.248237663645519, 0.95244474212994, 1986, 114, 1422, 493, 1422, 37, 570, 1422
1, 2002, 5, 67780, 0.322372855383461, 1, NA, NA, 0.411764705882353, 1, 34, 1, 20, 14, 20, NA, 5, 20
1, 2003, 1, 67780, 0, 0, 0.993203252646964, 0.993124815579817, 0, 0, 67780, 0, 0, 0, 0, 67314, 0, 0
1, 2003, 2, 67780, 0.000438368889167817, 0.00458806802032441, 0.465217230779399, 0.44206008583691, 0, 0, 466, 0, 0, 0, 0, 206, 0, 0
1, 2003, 3, 67780, 0.103120842843152, 0.149116368698331, 0.390926505384046, 0.425641025641026, 0.126923076923077, 0.140969162995595, 260, 6, 32, 33, 32, 83, 30, 32
1, 2003, 4, 67780, 0.322372855383461, 0.948896315421268, 0.642780170249582, 0.333333333333333, 0.330357142857143, 0.92, 112, 13, 69, 37, 69, 2, 65, 69
1, 2003, 5, 67780, 0.522048750299767, 1, NA, NA, 0.5, 1, 4, 2, 2, 2, 2, NA, 10, 2
2, 1979, 1, 67780, 0, 0, 0.995218135771064, 0.99508704632635, 0, 0, 67780, 0, 0, 0, 0, 67447, 0, 0
2, 1979, 2, 67780, 0.000332923347455494, 0.0051121052335622, 0.640661040785006, 0.659638554216867, 0, 0.003003003003003, 333, 0, 1, 0, 1, 219, 0, 1
2, 1979, 3, 67780, 0.112807008303091, 0.164705614981731, 0.428598511885872, 0.315789473684211, 0.123893805309735, 0.232323232323232, 113, 1, 23, 14, 23, 24, 5, 23
2, 1979, 4, 67780, 0.550246393202987, 0.948896315421268, 0.3600843267366, 0.5, 0.557692307692308, 0.91304347826087, 52, 5, 21, 29, 21, 1, 25, 21
2, 1979, 5, 67780, 0.165812928134439, 1, NA, NA, 0, 1, 1, 0, 1, 0, 1, NA, 0, 1
2, 1980, 1, 67780, 0, 0, 0.994147148399322, 0.994349365594571, 0, 0, 67780, 0, 0, 0, 0, 67397, 0, 0
2, 1980, 2, 67780, 0.000308407187467163, 0.0121953094441641, 0.428598511885872, 0.403693931398417, 0.00261096605744125, 0.00785340314136126, 383, 0, 3, 1, 3, 153, 0, 3
2, 1980, 3, 67780, 0.266496157597592, 0.35005578819241, 0.3600843267366, 0.313725490196078, 0.300884955752212, 0.354430379746835, 226, 12, 56, 68, 56, 32, 60, 56
2, 1980, 4, 67780, 0.165812928134439, 0.948896315421268, 0.361072357144815, 0.333333333333333, 0.185714285714286, 0.947368421052632, 70, 1, 54, 13, 54, 1, 5, 54
2, 1980, 5, 67780, 0.54315471484706, 1, NA, NA, 0, 1, 2, 0, 2, 0, 2, NA, 0, 2
2, 1981, 1, 67780, 0, 0, 0.939861245651321, 0.940778990852759, 0, 0, 67780, 0, 0, 0, 0, 63766, 0, 0
2, 1981, 2, 67780, 0.000798368249998793, 0.0184463832228995, 0.3600843267366, 0.361507128309572, 0.000747384155455904, 0.0206930939915233, 4014, 1, 83, 3, 83, 1420, 5, 83
2, 1981, 3, 67780, 0.0679028871617171, 0.479929112728195, 0.361072357144815, 0.345698500394633, 0.058213716108453, 0.463590177815411, 2508, 34, 1095, 146, 1095, 438, 170, 1095
2, 1981, 4, 67780, 0.54315471484706, 0.948896315421268, 0.330800332724195, 0.142857142857143, 0.547647768395657, 0.944, 829, 105, 354, 454, 354, 3, 525, 354
2, 1981, 5, 67780, 0.268522799608578, 1, NA, NA, 0.277777777777778, 1, 18, 1, 13, 5, 13, NA, 5, 13
2, 1982, 1, 67780, 0, 0, 0.893785251736156, 0.893759221009147, 0, 0, 67780, 0, 0, 0, 0, 60579, 0, 0
2, 1982, 2, 67780, 0.000181197619748885, 0.00594603976843877, 0.361072357144815, 0.347072795864189, 0.000277739202888488, 0.00583414363105987, 7201, 1, 42, 2, 42, 2484, 5, 42
2, 1982, 3, 67780, 0.262031691166173, 0.188943314945336, 0.330800332724195, 0.334618079887877, 0.253798416434838, 0.181531402351592, 4673, 213, 633, 1186, 633, 955, 1065, 633
2, 1982, 4, 67780, 0.268522799608578, 0.948896315421268, 0.302489465753857, 0.303030303030303, 0.279094260136914, 0.951789627465303, 1899, 103, 1303, 530, 1303, 20, 515, 1303
2, 1982, 5, 67780, 0.144666698273007, 1, NA, NA, 0.152173913043478, 1, 46, 4, 39, 7, 39, NA, 20, 39
2, 1983, 1, 67780, 0, 0, 0.894606422185364, 0.894688698731189, 0, 0, 67780, 0, 0, 0, 0, 60642, 0, 0
